hotel_name,location,price,rating,reviews,link
Sandman Signature Calgary Downtown Hotel,"Downtown Calgary, Calgary",NA,Scored 8.0,"2,646 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/sandman-calgary-city-centre.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Ramada Plaza by Wyndham Calgary Downtown,"Downtown Calgary, Calgary",NA,Scored 7.6,"2,677 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/ramada-downtown-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Courtyard by Marriott Calgary Downtown,"Downtown Calgary, Calgary",NA,Scored 8.7,843 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/courtyard-by-marriott-calgary-downtown.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Residence Inn by Marriott Calgary Downtown/Beltline District,"Beltline, Calgary",NA,Scored 9.0,873 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/residence-inn-by-marriott-calgary-downtown-beltline-district.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Alt Hotel Calgary East Village,"Downtown Calgary, Calgary",NA,Scored 9.0,"1,520 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/alt-calgary-east-village.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Hilton Garden Inn Calgary Downtown,"Downtown Calgary, Calgary",NA,Scored 8.2,850 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/hilton-garden-inn-calgary-downtown.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Homewood Suites by Hilton Calgary Downtown,"Downtown Calgary, Calgary",NA,Scored 8.3,"1,047 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/homewood-suites-by-hilton-calgary-downtown.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Executive Residency by Best Western Calgary City View North,Calgary,NA,Scored 8.9,"3,851 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/executive-residency-by-best-western-calgary-city-view-north.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Hotel Le Germain Calgary,"Downtown Calgary, Calgary",NA,Scored 9.0,683 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/le-germain-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Coast Calgary Downtown Hotel & Suites by APA,"Downtown Calgary, Calgary",NA,Scored 8.3,"2,379 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/coast-cadowntown-hotel-suitesby-apa.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Holiday Inn Calgary Airport by IHG,"Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 7.8,"1,198 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/holiday-inn.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Hyatt Regency Calgary,"Downtown Calgary, Calgary",NA,Scored 8.5,"1,034 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/526933.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Carriage House Hotel and Conference Centre,Calgary,NA,Scored 8.4,"1,884 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/carriage-house-inn.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
"Royal Hotel Calgary, Trademark Collection by Wyndham","Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 8.2,"3,990 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/executive-royal-inn-north-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Hotel Arts,"Beltline, Calgary",NA,Scored 8.3,932 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/arts-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
Best Western Plus Village Park Inn,"University of Calgary District , Calgary (University of Calgary District )",NA,Scored 8.4,"1,060 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/1804-crowchilo.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Hampton Inn & Suites by Hilton Calgary University NW,"University of Calgary District , Calgary (University of Calgary District )",NA,Scored 7.7,627 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/hampton-inn-suites-calgary-university.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from_sustainable_property_sr=1&from=searchresults
"Park Inn by Radisson, Calgary Airport North, AB","Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 8.6,"3,528 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/park-inn-by-radisson-calgary-airport-north.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
Wingate by Wyndham Calgary Airport,"Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 8.5,"3,679 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/wingate-by-wyndham-calgary-airport.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953858&from=searchresults
2 Storey Penthouse Panoramic Views Parking Stampede,"Beltline, Calgary",NA,Scored 9.4,7 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/2-storey-penthouse-panoramic-views-parking-stampede.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from=searchresults
Hotel Clique Calgary Airport,"Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 8.8,"2,306 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/clique-calgary-airport.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from=searchresults
Holiday Inn Express and Suites Calgary by IHG,"Downtown Calgary, Calgary",NA,Scored 7.8,831 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/holiday-inn-express-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from=searchresults
Super 8 by Wyndham Macleod Trail Calgary,"Southwest Calgary, Calgary (Southwest Calgary)",NA,Scored 7.3,"1,973 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/econo-lodge-south-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from=searchresults
Comfort Inn & Suites South,Calgary,NA,Scored 7.8,942 reviews,https://www.booking.comhttps://www.booking.com/hotel/ca/hotel-macleod-trail-s-w-calgary.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from=searchresults
Best Western Premier Calgary Plaza Hotel & Conference Centre,"Northeast Calgary, Calgary (Northeast Calgary)",NA,Scored 8.4,"1,602 reviews",https://www.booking.comhttps://www.booking.com/hotel/ca/coast-plaza-and-conference-center.en-gb.html?aid=304142&label=mkt123sc-64505532-eeb6-4053-9fbc-1cc31af5acc1&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=70be847d84240c4a5eca295492f7f490&srepoch=1763953859&from_sustainable_property_sr=1&from=searchresults
