Title,Description,Author,Year,MonthDay,Link,ImageLink
Python Tutorial :#2 Python Vs Java,"As we know Python and Java, Both the languages are powerful and both the languages provide many great frameworks. But the question is when to use which language? So, in",Supriya,2022,Mar 10,https://www.opencodez.com/python/python-tutorial-2-python-vs-java.htm,https://www.opencodez.com/wp-content/uploads/2022/03/python-vs-java-150x100.png
Python Tutorial : #1 Introduction to Python,Python is a most popular programming language which was created by Guido van Rossum and python is the successor of the ABC programming language. We will cover a brief Introduction,Supriya,2022,Feb 20,https://www.opencodez.com/python/python-tutorial-1-introduction-to-python.htm,https://www.opencodez.com/wp-content/uploads/2022/02/Python-150x100.jpg
Chain of Responsibility – Behavioral Design Pattern,"The Chain of Responsibility Pattern comes under Behavioral design pattern, the main motive of this pattern is to accomplish loose coupling in Software design process where the client request is",Supriya,2020,Aug 1,https://www.opencodez.com/java/chain-of-responsibility-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/08/Java-Design-Patterns-150x100.png
Flyweight Pattern – Structural Design Pattern,Flyweight pattern comes under Structural Design Patterns. By using this pattern we can decrease object count. When there is a need to create huge amount of similar objects then this,Supriya,2020,May 20,https://www.opencodez.com/java/flyweight-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/05/Flyweight-Pattern-Java-Design-Patterns-150x100.png
What Is Full Stack QA or Tester? 4 Steps Guide For Beginners,"We have always heard the term full-stack developer but what about someone from QA background? Do we also have something like Full Stack QA Engineer? the answer is Yes! So,",Shilpa,2020,May 18,https://www.opencodez.com/software-testing/become-full-stack-qa-engineer.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Full-Stack-Developer-200x200.jpeg
Recession 2020 -7 Highly Effective Ways IT Professionals Can Prepare,"Many say that another wave of Recession is approaching. On the internet, you will find several articles talking about an upcoming recession. I am not an economic expert, but the",Shilpa,2020,Apr 27,https://www.opencodez.com/it-lifestyle/7-highly-effective-ways-professionals-can-prepare-recession.htm,https://www.opencodez.com/wp-content/uploads/2020/04/Untitled-drawing1.png
10 Productivity Tips For Working From Home (WFH) – Practical To Follow,"It’s been more than 5 years, I am working from home (WFH) now. After the birth of my daughter, I was blessed to get this opportunity to WFH and at",Shilpa,2020,Mar 30,https://www.opencodez.com/it-lifestyle/10-productivity-tips-for-working-from-home.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-4.png
Complete Step by Step Guide of Gherkin for Beginners,"Gherkin is a plain English text language, used by BDD (Behavior Driven Development) tool ‘Cucumber‘ to define and execute the test scripts. 1. What is BDD? BDD (Behavior Driven Development)",Pritam,2020,Mar 22,https://www.opencodez.com/software-testing/complete-step-step-guide-gherkin-beginners.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-3.png
Top 8 Most Commonly asked HR Interview Questions With Answers,"There are some questions that are frequently asked during Human Resource interviews. As an IT professional, these HR Interview Questions may appear not so important as technical questions, but in",Shilpa,2020,Mar 21,https://www.opencodez.com/how-to-guide/the-8-most-commonly-asked-hr-interview-questions.htm,https://www.opencodez.com/wp-content/uploads/2020/03/HR-Interview-Questions-200x200.png
7 Free Testing Artifacts / Deliverables Template To Download,"Testing Artifacts are deliverables or documents prepared during the testing process. These documents are shared at different stages of Testing with different stakeholders like clients, Test Managers, Team members, and",Shilpa,2020,Mar 19,https://www.opencodez.com/software-testing/free-testing-artifacts-deliverables-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Testing-Artifacts-200x200.png
"What is Test Case (TC), Examples with Free Template To Download",Test Case (TC) is the most important document prepared in testing activities. It is the base for testing an application. So make sure it is reviewed by all respective stakeholders,Shilpa,2020,Mar 16,https://www.opencodez.com/software-testing/test-cases-with-examples-free-test-case-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Case_F.png
What is Test Data? Examples with Free Template to Download,Test data plays an important role in executing test cases. Designing appropriate data is one of the main tasks of application testing. What is Test Data? Test data is a,Shilpa,2020,Mar 12,https://www.opencodez.com/software-testing/test-data.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Data-2-200x200.png
"What is Test Scenario? Template with Examples,Difference Between Test Scenario and Test Case","For Testers, Test Scenario is not new, but many testing professionals are still vague about this concept. So, what is a Test Scenario? Why we create it? How to create",Shilpa,2020,Mar 10,https://www.opencodez.com/software-testing/what-is-test-scenario-template-with-examples.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Scenario_Featured1-200x200.png
Top 10 ETL Testing Tools to Watch in 2020,"ETL Testing has a lot of demand in the market all the time. ETL Testers are paid better than Manual/ Functional ones. So, those who are interested in Database /SQL",Shilpa,2020,Mar 4,https://www.opencodez.com/software-testing/top-10-etl-testing-tools.htm,https://www.opencodez.com/wp-content/uploads/2020/03/ETL-Testing-Tools-3.png
XPath for Web Scraping with R – Detailed Step by Step Guide,"We have already learned about Web Scraping Technology in our previous post Web Scraping Using Beautiful Soup in Python. In addition to that, a learner/developer might also be interested in",Rounak,2020,Mar 1,https://www.opencodez.com/how-to-guide/how-to-use-xpath-for-web-scraping-with-r.htm,https://www.opencodez.com/wp-content/uploads/2020/03/How-to-use-XPath-for-Web-Scraping-with-R.png
10 Steps Action Plan to Move From Software Development To Testing,How can I move my career from Software Development To Testing? I am frequently getting these kinds of queries in comments on our most popular article 6 Important Steps to,Shilpa,2020,Feb 27,https://www.opencodez.com/software-testing/10-steps-action-plan-to-move-from-software-development-to-testing.htm,https://www.opencodez.com/wp-content/uploads/2020/02/Action-Plan-to-Move-From-Software-Development-To-Testing-1-200x200.png
151+ Most Important Frequently Asked Selenium Interview Questions,Here we are providing 151 Most Important Frequently Asked Selenium Interview Questions. These questions will be very useful for you to crack an interview and help you to make a,Shilpa,2020,Feb 25,https://www.opencodez.com/software-testing/most-important-frequently-asked-selenium-interview-questions.htm,https://www.opencodez.com/wp-content/uploads/2020/02/Most-Important-Frequently-Asked-Selenium-Interview-Questions.png
JMeter for Load Testing – A Complete Guide For Beginners,"If you are into manual testing and planning to learn a testing tool, though just to add in your resume, definitely consider JMeter For Load Testing. This is because Jmeter doesn’t require coding",Shilpa,2020,Jan 28,https://www.opencodez.com/software-testing/beginners-guide-to-jmeter-for-load-testing.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Jmeter-For-Load-Testing.png
Beginners Guide to Flutter SDK – Create Simple Mobile App with Flutter,"Flutter is a free and open-source SDK provided by Google, it uses a unique language called Dart ( which was developed by Google). With Flutter, a developer can have an",Shilpa,2020,Jan 15,https://www.opencodez.com/how-to-guide/beginners-guide-to-flutter-sdk.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Flutter.png
7 Life Changing Lessons I Learned From 7 Yrs Of IT Experience,"We have engineers graduated in thousands every year across the entire country. In that, the majority is hired by IT companies. I completed my B.Tech in 2012. I was not",Rounak,2020,Jan 8,https://www.opencodez.com/it-lifestyle/7-life-changing-lessons-learned-7-yrs-experience.htm,https://www.opencodez.com/wp-content/uploads/2020/01/party-glass-architecture-windows-34092-200x200.jpg
6 Tips To Deal With IT Professional’s Anxiety,"Last weekend my sabjiwala said, “mam aap to IT me ho, itna kyu bargain kar rahe ho”. (You are in IT, why are you bargaining hard ) And I was",Shilpa,2020,Jan 6,https://www.opencodez.com/it-lifestyle/6-tips-to-deal-with-it-professional-anxiety.htm,https://www.opencodez.com/wp-content/uploads/2020/01/design-desk-display-eyewear-313690-200x200.jpg
API Testing with Java Using Rest Assured – Sample Code Provided,"Overview Nowadays, software applications are becoming more complex at the same time more open for interactions. All thanks to APIs and it’s the ease of using with any kind of",Pritam,2020,Jan 4,https://www.opencodez.com/software-testing/api-testing-java-using-rest-assured.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Java-Rest-API.png
9 Crucial Financial Advice For IT Engineers For Better Future,There is a common belief that IT employees earn more and save more. How many of you would agree with me on this? I am sure the number would be,admin,2019,Dec 30,https://www.opencodez.com/it-lifestyle/9-crucial-financial-advice-for-it-engineers-for-better-future.htm,https://www.opencodez.com/wp-content/uploads/2019/12/black-calculator-near-ballpoint-pen-on-white-printed-paper-53621-200x200.jpg
6 Part Time Jobs For IT Engineers To Earn Extra Money,"You have no other responsibilities than your job or ever thought of doing part-time jobs after coming back from your daily work routine? If yes, then you will be delighted",Shilpa,2019,Dec 26,https://www.opencodez.com/it-lifestyle/6-part-time-jobs-software-engineers-earn-extra-money.htm,https://www.opencodez.com/wp-content/uploads/2019/12/adult-books-business-coffee-374016-200x200.jpg
7 Awesome Ways to Beat Monday Blues,"I think, no one hates Monday thank we IT people. 🙂 Our weekend starts on Friday afternoon only and Sunday afternoon we start feeling sad merely thinking about the next",Shilpa,2019,Dec 25,https://www.opencodez.com/it-lifestyle/7-awesome-ways-to-beat-monday-blues.htm,https://www.opencodez.com/wp-content/uploads/2019/10/MB-200x200.jpg
Automation Testing With Cypress – Simple and Easy Tutorial For Beginners,"The biggest challenge we QA Engineers face or at least I always encounter is those annoying waits, sleep, elements not present on the page, or slow loading of pages. To",Pritam,2019,Dec 13,https://www.opencodez.com/software-testing/automation-testing-with-cypress.htm,https://www.opencodez.com/wp-content/uploads/2019/12/cypress-logo-200x200.png
How Can Artificial Intelligence and Machine Learning Impact The Healthcare Industry,"The healthcare industry is rapidly evolving. The 2019 Global Healthcare Outlook analysis by Deloitte estimates that between 2017-2022, the global health care spending is expected to rise 5.4 percent annually",Rounak,2019,Nov 18,https://www.opencodez.com/how-to-guide/how-can-artificial-intelligence-and-machine-learning-impact-the-healthcare-industry.htm,https://www.opencodez.com/wp-content/uploads/2019/11/AI.jpg
Java Structural Design Patterns – Bridge Pattern,"Bridge Pattern is one of the structural design patterns. As the name of the pattern is BRIDGE , it divides one class in 2 parts i.e., Abstraction and Implementation and",Supriya,2019,Nov 13,https://www.opencodez.com/java/bridge-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/11/Java-Design-Patterns-Bridge-Pattern.png
Apply Machine Learning Algorithms on a Loan Delinquency Problem – Part2,"Hope the previous article on exploration of the Loan Default data was informative. As stated, it is time to talk about encoding of a few categorical columns in our data. In this",Rounak,2019,Nov 7,https://www.opencodez.com/how-to-guide/machine-learning-algorithms-on-loan-delinquency-problem.htm,https://www.opencodez.com/wp-content/uploads/2019/11/Tree-Based-Algorithms-on-a-Loan-Delinquency-Problem.png
What is Full Stack Developer? Simple Easy Guide To Become The One,Full Stack Developer is the latest trend going on in the job market. If you look across various job portals you can easily spot the demand for Full Stack Developers,Pavan,2019,Oct 24,https://www.opencodez.com/how-to-guide/full-stack-developer.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Full-Stack-Developer-200x200.jpeg
Java Creational Design Patterns – Prototype Pattern,"Prototype pattern comes under creational design pattern. As we know, in Java object creation process is time consuming and costly, so instead of creating object every time we can create",Supriya,2019,Oct 19,https://www.opencodez.com/java/prototype-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Java-Design-Patterns-Prototype-Pattern.png
How to Perform Exploratory Data Analysis on a Loan Delinquency Problem -Part1,Hello readers!! We are back with another problem on machine learning and this time we are going to consider a numerical problem. Here we will focus on performing Exploratory data,Rounak,2019,Oct 5,https://www.opencodez.com/machine-learning/how-to-perform-exploratory-data-analysis-on-a-loan-delinquency-problem.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Loan-Delinquency-Problem.png
SQL for QA: Tutorial#14 – Triggers,"Triggers are nothing but action / set of actions performed on Tables  or Views when Insert / Delete / Update or Truncate queries are executed. What kind of Actions ,",Supriya,2019,Oct 3,https://www.opencodez.com/software-testing/sql-for-qa-tutorial14-triggers.htm,https://www.opencodez.com/wp-content/uploads/2019/10/SQL-for-QA-Triggers.png
SQL for QA: Tutorial#13 – Stored Functions,"Testing team uses Stored Functions very often to test complex functionalities, mainly where lot of calculations are involved. It is easier to use functions for it than writing long query",Supriya,2019,Sep 26,https://www.opencodez.com/software-testing/sql-for-qa-tutorial13-stored-functions.htm,https://www.opencodez.com/wp-content/uploads/2019/09/SQL-for-QA-Stored-Functions.png
SQL for QA: Tutorial#12 – Stored Procedure,"A Stored Procedure can be used like a modular programming where we must create procedure once, store it and call for several times whenever it is needed. Execution time is",Supriya,2019,Sep 25,https://www.opencodez.com/software-testing/sql-qa-tutorial11-stored-procedure.htm,https://www.opencodez.com/wp-content/uploads/2019/09/SQL-for-QA-Stored-Procedure.png
SQL for QA: Tutorial#11 – Views,"In simple words, View is a ‘Subset’ of  one or multiple tables. A View can be a Virtual Table which contains all OR some of the rows and columns of the",Supriya,2019,Sep 18,https://www.opencodez.com/software-testing/sql-for-qa-tutorial11-views.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Views.png
SQL for QA: Tutorial#10 – Sub Queries,"Sub Query is nothing but a nested query or we can say query within a query. Frankly speaking, I have not used sub queries that often in my 10 years",Supriya,2019,Sep 15,https://www.opencodez.com/software-testing/sql-qa-tutorial10-sub-queries.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Sub-Queries.png
React Native:Tutorial #7 – Top 10 React Native Libraries,"React Native community is huge. Most web developers prefer to learn React Native than two languages for android and iOS. Almost in any development framework, it is really hard to",Pavan,2019,Sep 11,https://www.opencodez.com/react-native/top-10-react-native-libraries.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Top-10-React-Native-libraries.png
React Native:Tutorial #6 – React Native Animation,"One of the best way to improve user experience in mobile application is to use animation. In Android and iOS native development, animation is handled differently. Also, not all animations",Pavan,2019,Sep 9,https://www.opencodez.com/react-native/react-native-animation.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-Animation.png
React Native:Tutorial #5 – React Native API Integration,React Native API Integration is one of the easiest way to fetch data from a remote urls. You can user the API integration to use not only GET request but we can also,Pavan,2019,Sep 5,https://www.opencodez.com/react-native/react-native-api-integration.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-API-Integration.png
React Native:Tutorial #4 – React Native UI Components,"In this blog post, we will learn few commonly used React Native UI Components. We can use different types of UI elements in a react-native project. But remember that it",Pavan,2019,Sep 3,https://www.opencodez.com/react-native/react-native-ui-components.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-UI-Components.png
React Native:Tutorial #3 – Styling React Native App,"Styling is one of the important part of application development. For native android development, XML is used to design the UI. Similarly, for native iOS development, XCode is required. But",Pavan,2019,Sep 1,https://www.opencodez.com/react-native/tutorial-3-styling-react-native-app.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Styling-React-Native-App.png
React Native:Tutorial #2 – React Native Props and State,"‘props’ and ‘state’ are two important concepts in React Native. Using React Native Props and State, we can control one component. In this tutorial, we will learn how to use",Pavan,2019,Aug 29,https://www.opencodez.com/react-native/react-native-props-and-state.htm,https://www.opencodez.com/wp-content/uploads/2019/08/React-Native-Props-and-State-200x200.png
React Native:Tutorial #1 – React Native Introduction,"React was started by Facebook. They have used internally before open-sourced it. With React, we can create component-based architecture for a web application. React native is similar to react. It",Pavan,2019,Aug 28,https://www.opencodez.com/react-native/react-native-introduction.htm,https://www.opencodez.com/wp-content/uploads/2019/08/React-Native-Introduction-200x200.png
Micronaut Framework – Complete Guide with Sample Example,"Micronaut Framework is one of the recently introduced JVM-based framework for building lightweight, modular applications and microservices.  In this article we will briefly take you through some of the Micronaut",Pavan,2019,Aug 21,https://www.opencodez.com/java/introduction-to-micronaut-framework.htm,https://www.opencodez.com/wp-content/uploads/2019/08/Micronaut-150x100.png
Sentiment Analysis of Tweets – Predicting Sentiments using Machine Learning Algorithms,Sentiment Analysis of Tweets: This post is in continuation of the previous article where we created a twitter app and established a connection between R and the Twitter API via the,Rounak,2019,Jul 31,https://www.opencodez.com/machine-learning/sentiment-analysis-tweets-predicting-sentiments-using-machine-learning-algorithms.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Creating-a-Twitter-API-and-fetch-tweets-using-R.png
Sentiment Analysis of Tweets – Connecting to Twitter API +Fetching Tweets using R,"Sentiment Analysis of Tweets: Twitter is a popular source to extract text data related to any product, company, individual or event. Let us consider an example of the Cricket World",Rounak,2019,Jul 26,https://www.opencodez.com/how-to-guide/sentiment-analysis-tweets-creating-twitter-api-fetch-tweets-using-r.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Creating-a-Twitter-API-and-fetch-tweets-using-R.png
Java Creational Design Patterns – Builder Pattern,Builder pattern is one of the Creational design pattern. This pattern uses step by step approach to build a complex object. So we can say this pattern provides easy way,Supriya,2019,Jul 25,https://www.opencodez.com/java/java-creational-design-patterns-builder-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Builder-Pattern-e1564311744589.png
Top 5 Frameworks for Java Developers,"Java is one of the widely used programming languages. There are many useful Java frameworks available to write any Java-based web and mobile apps, REST APIs and Microservices easily. In",Pavan,2019,Jul 17,https://www.opencodez.com/java/top-5-frameworks-java-developers.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Top-5-Frameworks-for-Java-Developers.png
Java Structural Design Patterns – Proxy Pattern,Do you remember signing your class attendance sheet on behalf of your friend (well of course your teacher doesn’t have to know :)). That is called Proxy. It means “in,Supriya,2019,Jul 10,https://www.opencodez.com/java/java-structural-design-patterns-proxy-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Proxy-Pattern.png
WebSocket Application With Spring Boot Step By Step – Source Code On GitHub,"WebSocket is used to develop two-way communication between server and browser. For example, in a chat application, if a user sends a message to a different user, the application sends",Pavan,2019,Jul 8,https://www.opencodez.com/java/simple-websocket-application-springboot.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Websocket.png
What is Docker – Complete Docker Tutorial for Beginners,What is Docker ? Why Docker-based applications are gaining popularity rapidly? Docker Platform is used for running an application in any platform easily. If you have developed your application on,Pavan,2019,Jul 1,https://www.opencodez.com/java/beginners-guide-docker-platform.htm,https://www.opencodez.com/wp-content/uploads/2019/06/docker.png
Java Creational Design Patterns – Singleton Pattern,Singleton Pattern is one of the Creational design pattern. The singleton pattern puts restriction on object creation process; it restricts the instantiation of a class to one object. If we,Supriya,2019,Jun 26,https://www.opencodez.com/java/singleton-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Singleton-Pattern.png
Web Scraping Using Beautiful Soup Word Cloud + Python – Tutorial Part 2,"Web Scraping Using Beautiful Soup: In our previous article, we understood what is Web Scraping? why Web Scraping? Different ways for web scraping and step by step tutorial of Web",Rounak,2019,Jun 24,https://www.opencodez.com/web-development/web-scraping-using-beautiful-soup-word-cloud-part-2.htm,https://www.opencodez.com/wp-content/uploads/2019/06/word-image-13.png
Web Scraping Using Beautiful Soup + Python – Tutorial Part 1,"Web Scraping Using Beautiful Soup: In this article, we will see what is Web Scraping? why Web Scraping? Different ways for web scraping and step by step tutorial of Web",Rounak,2019,Jun 20,https://www.opencodez.com/web-development/web-scraping-using-beautiful-soup-part-1.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Web-Scraping-using-Beautiful-Soup.png
A Beginners Guide to Kotlin,What is Kotlin ? Kotlin is an expressive Open Source Programing Language with Type Interface for Android development which supports Java Virtual Machine. Google has adopted Kotlin as an official,Pavan,2019,Jun 17,https://www.opencodez.com/java/beginners-guide-kotlin.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Kotlin.png
GraphQL Tutorial#6 : 51 Most Imp GraphQL Interview Questions and Answers,"To conclude our 5 Articles Series on GraphQL, here we are providing 51 Most Important and Frequently Asked GraphQL Interview Questions. These questions will be very useful for you to",Pavan,2019,Jun 12,https://www.opencodez.com/web-development/tutorial6-51-imp-graphql-interview-questions-answers.htm,https://www.opencodez.com/wp-content/uploads/2019/06/GraphQL-Interview-Questions.png
GraphQL Tutorial #5 – Introduction to Apollo GraphQL,"In this tutorial, we will learn how to create one full-stack ‘todo’ application using Apollo GraphQL, Node and React. We will use ‘material ui’ library for building the UI in",Pavan,2019,Jun 10,https://www.opencodez.com/web-development/graphql-tutorial-5-introduction-apollo-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Apollo-GraphQL.png
GraphQL Tutorial #4 – GraphQL Operations,"In this blog post, we are going to discuss three important GraphQL Operations concepts: queries, mutation, and subscription. GraphQL queries are used to fetch data from a GraphQL server, similar",Pavan,2019,Jun 6,https://www.opencodez.com/web-development/tutorial-4-graphql-operations.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Operations.png
GraphQL Tutorial #3 – GraphQL Components,"We can use different languages to implement a GraphQL server. GraphQL is a strongly typed language and it is really important to learn about the type system. Also, even though",Pavan,2019,Jun 4,https://www.opencodez.com/web-development/tutorial-3-graphql-components.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Components.png
GraphQL Tutorial #2 – Setting up a Basic Project in GraphQL,"Introduction: GraphQL is a query language used for APIs. Unlike REST, GraphQL has only one endpoint and client can ask for what is actually required. We can write a GraphQL",Pavan,2019,Jun 2,https://www.opencodez.com/graphql/graphql-tutorial-2-setting-basic-project-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Setting-Up-Base-Project.png
GraphQL Tutorial #1 – Introduction to GraphQL,Introduction : GraphQL is a query language for your API and it is also a set of server-side runtimes to execute these queries. It is a powerful alternative to the,Pavan,2019,May 31,https://www.opencodez.com/graphql/graphql-tutorial-1-introduction-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL.png
A Beginner’s Guide to Microsoft Web Template Studio (VS Code) – Step By Step,"Recently, Microsoft has announced a cross-platform extension for Visual studio code (VSC) called Microsoft Web Template Studio. ‘Web template studio’ provides a developer-friendly wizard to create one full-stack web application.",Pavan,2019,May 29,https://www.opencodez.com/web-development/introduction-microsoft-web-template-studio.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Microsoft-Web-Template-Studio.png
SQL for QA: Tutorial#9 – JOIN Clause,"JOIN clause is used to combine data from two or more tables, after joining it comes as a single set of data and we can call it Result set. Tables",Supriya,2019,May 27,https://www.opencodez.com/software-testing/sql-qa-tutorial9-join-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Join-Clause.png
SQL for QA: Tutorial#8 – UNION Clause,"QAs also use UNION clause frequently if need to do through testing of application functionalities with data. By using the UNION operator, we can combine the results of 2 or",Supriya,2019,May 22,https://www.opencodez.com/software-testing/sql-qa-tutorial8-union-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/UNION-Clause.png
SQL for QA: Tutorial#7 – GROUP BY Clause,"The GROUP BY clause is used to organize identical data into groups often with the help of 5 Aggregate functions ie. COUNT, MIN, MAX, AVG, SUM. GROUP BY clause is",Supriya,2019,May 19,https://www.opencodez.com/software-testing/sql-qa-tutorial7-group-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GROUP-BY-Clause.png
SQL for QA: Tutorial#6 – ORDER BY Clause,"In SQL, ORDER BY clause is used to sort the records of the table. It is used with SELECT statement. Using this clause, we can sort the data by Ascending",Supriya,2019,May 10,https://www.opencodez.com/software-testing/sql-qa-tutorial6-order-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/ORDER-BY.png
SQL for QA: Tutorial#5 – DELETE Statement,DELETE Statement is used to permanently removes existing records from a given table. Most of the time QAs won’t have permission to perform this command on Development or Production environment.,Supriya,2019,May 8,https://www.opencodez.com/software-testing/sql-qa-tutorial5-delete-statement.htm,https://www.opencodez.com/wp-content/uploads/2019/05/DELETE.png
SQL for QA: Tutorial#4 – UPDATE Statement,UPDATE Statement is also frequently used by Testers and QAs. UPDATE is used to modify already existing records from the database table. In this article we will see how we,Supriya,2019,May 6,https://www.opencodez.com/software-testing/sql-qa-tutorial4-update-statement.htm,https://www.opencodez.com/wp-content/uploads/2019/05/UPDATE.png
Speed up your WordPress Site – No Coding Required – Part 2,"In part 1 Speed up your WordPress Site we showed you how to speed up your site mainly from a front end point of view. That is, by reducing the",Pavan,2019,May 3,https://www.opencodez.com/wordpress/speed-wordpress-site-no-coding-required-part-2.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Speed-up-your-WordPress-Site.png
Speed up your WordPress Site – No Coding Required – Part 1,"In this article, we will show you how to reduce the page load time and Speed up your WordPress Site by disabling unnecessary page bloat and optimizing image size while",Pavan,2019,May 1,https://www.opencodez.com/wordpress/speed-up-your-wordpress-site-part-1.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Speed-up-your-WordPress-Site.png
51 Most Important ReactJS Interview Questions and Answers,"To conclude our 6 Articles Series on ReactJS, here we are providing 51 Most Important and Frequently Asked ReactJSInterview Questions. These questions will be very useful for you to crack",Pavan,2019,Apr 26,https://www.opencodez.com/web-development/51-important-reactjs-interview-questions-answers.htm,https://www.opencodez.com/wp-content/uploads/2019/04/ReactJS-Interview-Questions-and-Answers.png
